phase,high,low,opening
0,0.1727127097308162,-0.1727127097308162,0.3454254194616324
1,0.19097932720653976,-0.19097932720653976,0.3819586544130795
2,0.19888204671273413,-0.19888204671273413,0.39776409342546826
3,0.20759395744592124,-0.20759395744592124,0.4151879148918425
4,0.21715145923288393,-0.21715145923288393,0.43430291846576785
5,0.2271932823167725,-0.2271932823167725,0.454386564633545
6,0.23812173551112015,-0.23812173551112015,0.4762434710222403
7,0.24997349611246733,-0.24997349611246733,0.49994699222493466
8,0.2602839787994658,-0.2602839787994658,0.5205679575989316
9,0.2690007071894866,-0.2690007071894866,0.5380014143789732
10,0.27872134938138077,-0.27872134938138077,0.5574426987627615
11,0.2895234117620975,-0.2895234117620975,0.579046823524195
12,0.28528017725427995,-0.28528017725427995,0.5705603545085599
13,0.28066530731424083,-0.28066530731424083,0.5613306146284817
14,0.2772743884469582,-0.2772743884469582,0.5545487768939164
15,0.25917408486079374,-0.25917408486079374,0.5183481697215875
16,0.23434361030130818,-0.23434361030130818,0.46868722060261636
17,0.20962507160154298,-0.20962507160154298,0.41925014320308596
18,0.18038521511867023,-0.18038521511867023,0.36077043023734046
19,0.1505009859614428,-0.1505009859614428,0.3010019719228856
20,0.12129957849233297,-0.12129957849233297,0.24259915698466594
21,0.09300168961505073,-0.09300168961505073,0.18600337923010146
22,0.06562496369025594,-0.06562496369025594,0.1312499273805119
23,0.03920149126585182,-0.03920149126585182,0.07840298253170364
24,0.01296882189868065,-0.01296882189868065,0.0259376437973613
25,-0.013314776418956287,0.013314776418956287,-0.026629552837912573
26,-0.03855737491546296,0.03855737491546296,-0.07711474983092592
27,-0.06265702853690691,0.06265702853690691,-0.12531405707381382
28,-0.08844885280775183,0.08844885280775183,-0.17689770561550366
29,-0.11736059995792125,0.11736059995792125,-0.2347211999158425
30,-0.1454017386360943,0.1454017386360943,-0.2908034772721886
31,-0.17351873704757692,0.17351873704757692,-0.34703747409515384
32,-0.20627882118165064,0.20627882118165064,-0.4125576423633013
33,-0.24038241896679324,0.24038241896679324,-0.4807648379335865
34,-0.2734193262816361,0.2734193262816361,-0.5468386525632722
35,-0.3052010235744226,0.3052010235744226,-0.6104020471488452
36,-0.3357230881099408,0.3357230881099408,-0.6714461762198816
37,-0.36530622919209577,0.36530622919209577,-0.7306124583841915
38,-0.3946661072126536,0.3946661072126536,-0.7893322144253072
39,-0.42264957510425566,0.42264957510425566,-0.8452991502085113
40,-0.4493512917212411,0.4493512917212411,-0.8987025834424822
41,-0.47537485045617917,0.47537485045617917,-0.9507497009123583
42,-0.5046768810088533,0.5046768810088533,-1.0093537620177067
43,-0.5386354407996273,0.5386354407996273,-1.0772708815992547
44,-0.5718016289687076,0.5718016289687076,-1.1436032579374151
45,-0.6040926715343271,0.6040926715343271,-1.2081853430686542
46,-0.6345101722081439,0.6345101722081439,-1.2690203444162877
47,-0.6641116493340815,0.6641116493340815,-1.328223298668163
48,-0.692480607146535,0.692480607146535,-1.38496121429307
49,-0.7190322908825943,0.7190322908825943,-1.4380645817651887
50,-0.7437746073905629,0.7437746073905629,-1.4875492147811258
51,-0.7666086425797537,0.7666086425797537,-1.5332172851595074
52,-0.7878105821484335,0.7878105821484335,-1.575621164296867
53,-0.8083526653485432,0.8083526653485432,-1.6167053306970864
54,-0.8273209050679196,0.8273209050679196,-1.654641810135839
55,-0.846247067096224,0.846247067096224,-1.692494134192448
56,-0.8630461258682312,0.8630461258682312,-1.7260922517364623
57,-0.8811419921313052,0.8811419921313052,-1.7622839842626103
58,-0.9068888620233206,0.9068888620233206,-1.8137777240466413
59,-0.9332237496772238,0.9332237496772238,-1.8664474993544475
60,-0.9574786615430111,0.9574786615430111,-1.9149573230860222
61,-0.9792401864953492,0.9792401864953492,-1.9584803729906983
62,-0.9984185253212507,0.9984185253212507,-1.9968370506425015
63,-1.0149842653949555,1.0149842653949555,-2.029968530789911
